rank,audience_segment,interest_share_pct,attention_index,score,keyword_count,top_keywords
1,中立・不明,80.18,100.0,18100.0,241,"デート スポット, 東京 デート, デート おすすめ, バチェラー デート, 映画 デート"
2,女性寄り,13.52,16.86,3051.0,44,"婚 活 パーティー, 婚 活 アプリ, 婚 活 イベント, 婚 活 ツアー, 婚 活 ブログ"
3,男性寄り,6.3,7.86,1422.0,18,"メンズ スキンケア, メンズ ファッション, メンズ コーデ, メンズ 夏 コーデ, メンズ スニーカー"
