rank,generation_segment,interest_share_pct,attention_index,score,keyword_count,top_keywords
1,世代不明,93.74,100.0,21160.0,283,"デート スポット, 東京 デート, デート おすすめ, バチェラー デート, 映画 デート"
2,10代・学生,3.07,3.28,694.0,8,"京都 小学生, 京都 小学生 行方 不明, 京都 小学生 父親, 京都 小学生 行方 不明 父親 外国 人, 京都 小学生 行方 不明 父親 と は"
3,30代,2.3,2.45,519.0,10,"婚 活 パーティー, 婚 活 アプリ, 婚 活 イベント, 婚 活 ツアー, 婚 活 ブログ"
4,40代,0.44,0.47,100.0,1,授業 参観 コーデ
5,50代以上,0.44,0.47,100.0,1,韓国 コスメ 人気 スキンケア 50 代
